disease, disease_url, summary
Falls,https://medlineplus.gov/falls.html,A fall can change your life. If you're elderly; it can lead to disability and a loss of independence. If your bones are fragile from osteoporosis; you could break a bone; often a hip. But aging alone doesn't make people fall. Diabetes and heart disease affect balance. So do problems with circulation; thyroid or nervous systems. Some medicines make people dizzy. Eye problems or alcohol can be factors. Any of these things can make a fall more likely. Babies and young children are also at risk of falling - off of furniture and down stairs; for example.
First Aid,https://medlineplus.gov/firstaid.html,Accidents happen. Someone chokes on an ice cube or gets stung by a bee. It is important to know when to call 9-1-1 -- it is for life-threatening emergencies.  While waiting for help to arrive; you may be able to save someone's life. Cardiopulmonary resuscitation (CPR) is for people whose hearts or breathing has stopped and the Heimlich maneuver is for people who are choking.
Wounds and Injuries,https://medlineplus.gov/woundsandinjuries.html,An injury is damage to your body. It is a general term that refers to harm caused by accidents; falls; hits; weapons; and more. In the U.S.; millions of people injure themselves every year. These injuries range from minor to life-threatening. Injuries can happen at work or play; indoors or outdoors; driving a car; or walking across the street.
Esophagus Disorders,https://medlineplus.gov/esophagusdisorders.html,The esophagus is the muscular tube that carries food; and liquids from your mouth to the stomach. You may not be aware of your esophagus until you swallow something too large; too hot; or too cold. You may also notice it when something is wrong. You may feel pain or have trouble swallowing.
Heel Injuries and Disorders,https://medlineplus.gov/heelinjuriesanddisorders.html,Heel problems are common and can be painful. Often; they result from too much stress on your heel bone and the tissues that surround it. That stress can come from
Dwarfism,https://medlineplus.gov/dwarfism.html,People with dwarfism have short stature. This means that their height is under 4' 10" as an adult. They are usually of normal intelligence. Dwarfism most often does happen in families where both parents are of average height.
GERD,https://medlineplus.gov/gerd.html,Your esophagus is the tube that carries food from your mouth to your stomach. Gastroesophageal reflux disease (GERD) happens when a muscle at the end of your esophagus does not close properly. This allows stomach contents to leak back; or reflux; into the esophagus and irritate it.
Heartburn,https://medlineplus.gov/heartburn.html,Heartburn is a painful burning feeling in your chest or throat. It happens when stomach acid backs up into your esophagus; the tube that carries food from your mouth to your stomach.
Knee Injuries and Disorders,https://medlineplus.gov/kneeinjuriesanddisorders.html,Your knee joint is made up of bone; cartilage; ligaments and fluid. Muscles and tendons help the knee joint move. When any of these structures is hurt or diseased; you have knee problems. Knee problems can cause pain and difficulty walking.
Acne,https://medlineplus.gov/acne.html,Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face; neck; back; chest; and shoulders. Anyone can get acne; but it is common in teenagers and young adults. It is not serious; but it can cause scars.
Rosacea,https://medlineplus.gov/rosacea.html,Rosacea is a long-term disease that affects your skin and sometimes your eyes. It causes redness and pimples. Rosacea is most common in women and people with fair skin. It most often affects middle-aged and older adults.
Acoustic Neuroma,https://medlineplus.gov/acousticneuroma.html,An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows; it presses against the hearing and balance nerves. At first; you may have no symptoms or mild symptoms. They can include
HIV/AIDS,https://medlineplus.gov/hivaids.html,HIV stands for human immunodeficiency virus. It harms your immune system by destroying the white blood cells that fight infection. This puts you at risk for serious infections and certain cancers. AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. Not everyone with HIV develops AIDS.
Growth Disorders,https://medlineplus.gov/growthdisorders.html,Does your child seem much shorter - or much taller - than other kids his or her age? It could be normal. Some children may be small for their age but still be developing normally. Some children are short or tall because their parents are.
Pituitary Disorders,https://medlineplus.gov/pituitarydisorders.html,Your pituitary gland is a pea-sized gland at the base of your brain. The pituitary is the "master control gland" - it makes hormones that affect growth and the functions of other glands in the body.
Skin Cancer,https://medlineplus.gov/skincancer.html,Skin cancer is the most common form of cancer in the United States. The two most common types are basal cell cancer and squamous cell cancer. They usually form on the head; face; neck; hands; and arms. Another type of skin cancer; melanoma; is more dangerous but less common.
Sun Exposure,https://medlineplus.gov/sunexposure.html,Ultraviolet (UV) rays are an invisible form of radiation. They can pass through your skin and damage your skin cells. Sunburns are a sign of skin damage. Suntans aren't healthy; either. They appear after the sun's rays have already killed some cells and damaged others. UV rays can cause skin damage during any season or at any temperature.  They can also cause eye problems; wrinkles; skin spots; and skin cancer.
Acupuncture,https://medlineplus.gov/acupuncture.html,Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin; to cause a change in the physical functions of the body.
Acute Bronchitis,https://medlineplus.gov/acutebronchitis.html,Bronchitis is an inflammation of the bronchial tubes; the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath; wheezing; a low fever; and chest tightness. There are two main types of bronchitis: acute and chronic.
Acute Lymphocytic Leukemia,https://medlineplus.gov/acutelymphocyticleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute lymphocytic leukemia (ALL); also called acute lymphoblastic leukemia; there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.
Acute Lymphocytic Leukemia,https://medlineplus.gov/acutelymphocyticleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute lymphocytic leukemia (ALL); also called acute lymphoblastic leukemia; there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.
Acute Myeloid Leukemia,https://medlineplus.gov/acutemyeloidleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute myeloid leukemia (AML); there are too many of a specific type of white blood cell called a myeloblast.
Acute Myeloid Leukemia,https://medlineplus.gov/acutemyeloidleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute myeloid leukemia (AML); there are too many of a specific type of white blood cell called a myeloblast.
Pancreatitis,https://medlineplus.gov/pancreatitis.html,The pancreas is a large gland behind the stomach and close to the first part of the small intestine. It secretes digestive juices into the small intestine through a tube called the pancreatic duct. The pancreas also releases the hormones insulin and glucagon into the bloodstream.
Respiratory Failure,https://medlineplus.gov/respiratoryfailure.html,Respiratory failure happens when not enough oxygen passes from your lungs into your blood. Your body's organs; such as your heart and brain; need oxygen-rich blood to work well. Respiratory failure also can happen if your lungs can't remove carbon dioxide (a waste gas) from your blood. Too much carbon dioxide in your blood can harm your body's organs.
Attention Deficit Hyperactivity Disorder,https://medlineplus.gov/attentiondeficithyperactivitydisorder.html,Is it hard for your child to sit still? Does your child act without thinking first? Does your child start but not finish things? If so; your child may have attention deficit hyperactivity disorder (ADHD). Nearly everyone shows some of these behaviors at times; but ADHD lasts more than 6 months and causes problems in school; at home and in social situations.
Addison Disease,https://medlineplus.gov/addisondisease.html,Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance.  Addison disease happens if the adrenal glands don't make enough of these hormones.
Adenoids,https://medlineplus.gov/adenoids.html,Adenoids are a patch of tissue that is high up in the throat; just behind the nose. They; along with the tonsils; are part of the lymphatic system. The lymphatic system clears away infection and keeps body fluids in balance. The adenoids and tonsils work by trapping germs coming in through the mouth and nose.
Adenoids,https://medlineplus.gov/adenoids.html,Adenoids are a patch of tissue that is high up in the throat; just behind the nose. They; along with the tonsils; are part of the lymphatic system. The lymphatic system clears away infection and keeps body fluids in balance. The adenoids and tonsils work by trapping germs coming in through the mouth and nose.
Benign Tumors,https://medlineplus.gov/benigntumors.html,Tumors are abnormal growths in your body. They can be either benign or malignant. Benign tumors aren't cancer. Malignant ones are. Benign tumors grow only in one place. They cannot spread or invade other parts of your body. Even so; they can be dangerous if they press on vital organs; such as your brain.
Endometriosis,https://medlineplus.gov/endometriosis.html,The uterus; or womb; is the place where a baby grows when a woman is pregnant. Endometriosis is a disease in which the kind of tissue that normally grows inside the uterus grows outside the uterus. It can grow on the ovaries; fallopian tubes; bowels; or bladder. Rarely; it grows in other parts of the body.
Viral Infections,https://medlineplus.gov/viralinfections.html,Viruses are very tiny germs. They are made of genetic material inside of a protein coating. Viruses cause familiar infectious diseases such as the common cold; flu and warts. They also cause severe illnesses such as HIV/AIDS; smallpox; and Ebola.
Attention Deficit Hyperactivity Disorder,https://medlineplus.gov/attentiondeficithyperactivitydisorder.html,Is it hard for your child to sit still? Does your child act without thinking first? Does your child start but not finish things? If so; your child may have attention deficit hyperactivity disorder (ADHD). Nearly everyone shows some of these behaviors at times; but ADHD lasts more than 6 months and causes problems in school; at home and in social situations.
Adhesions,https://medlineplus.gov/adhesions.html,Adhesions are bands of scar-like tissue. Normally; internal tissues and organs have slippery surfaces so they can shift easily as the body moves. Adhesions cause tissues and organs to stick together. They might connect the loops of the intestines to each other; to nearby organs; or to the wall of the abdomen. They can pull sections of the intestines out of place. This may block food from passing through the intestine.
Teen Development,https://medlineplus.gov/teendevelopment.html,As a teenager; you go through many physical; mental; emotional; and social changes. The biggest change is puberty; the process of becoming sexually mature.  It usually happens between ages 10 and 14 for girls and ages 12 and 16 for boys.   As your body changes; you may have questions about sexual health.
Teen Health,https://medlineplus.gov/teenhealth.html,As a teenager; you go through many changes. Your body is on its way to becoming its adult size. You may notice that you can't fit into your old shoes or that your jeans are now 3 inches too short. Along with these changes; you are probably becoming more independent and making more of your own choices. Some of the biggest choices you face are about your health.
Teenage Pregnancy,https://medlineplus.gov/teenagepregnancy.html,Most teenage girls don't plan to get pregnant; but many do. Teen pregnancies carry extra health risks to both the mother and the baby. Often; teens don't get prenatal care soon enough; which can lead to problems later on. They have a higher risk for pregnancy-related high blood pressure and its complications. Risks for the baby include premature birth and a low birth weight.
Adoption,https://medlineplus.gov/adoption.html,Adoption brings a child born to other parents into a new family. Birth parents have a number of reasons for placing children for adoption. Overall; they want better lives for their children than they think they can give them.
Adrenal Gland Cancer,https://medlineplus.gov/adrenalglandcancer.html,Your adrenal; or suprarenal; glands are located on the top of each kidney. These glands produce hormones that you can't live without; including sex hormones and cortisol; which helps you respond to stress and has many other functions.
Adrenal Gland Disorders,https://medlineplus.gov/adrenalglanddisorders.html,The adrenal glands are small glands located on top of each kidney.  They produce hormones that you can't live without; including sex hormones and cortisol. Cortisol helps you respond to stress and has many other important functions.
Addison Disease,https://medlineplus.gov/addisondisease.html,Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance.  Addison disease happens if the adrenal glands don't make enough of these hormones.
Leukodystrophies,https://medlineplus.gov/leukodystrophies.html,The leukodystrophies are rare diseases that affect the cells of the brain. Specifically; the diseases affect the myelin sheath; the material that surrounds and protects nerve cells. Damage to this sheath slows down or blocks messages between the brain and the rest of the body. This leads to problems with
Immunization,https://medlineplus.gov/immunization.html,Shots may hurt a little; but the diseases they can prevent are a lot worse.  Some are even life-threatening. Immunization shots; or vaccinations; are essential. They protect against things like measles; mumps; rubella; hepatitis B; polio; tetanus; diphtheria; and pertussis (whooping cough). Immunizations are important for adults as well as children.
Advance Directives,https://medlineplus.gov/advancedirectives.html,What kind of medical care would you want if you were too ill or hurt to express your wishes? Advance directives are legal documents that allow you to spell out your decisions about end-of-life care ahead of time. They give you a way to tell your wishes to family; friends; and health care professionals and to avoid confusion later on.
Atrial Fibrillation,https://medlineplus.gov/atrialfibrillation.html,An arrhythmia is a problem with the speed or rhythm of the heartbeat.  Atrial fibrillation (AF) is the most common type of arrhythmia. The cause is a disorder in the heart's electrical system.
Health Insurance,https://medlineplus.gov/healthinsurance.html,Health insurance helps protect you from high medical care costs. It is a contract between you and your insurance company. You buy a plan or policy; and the company agrees to pay part of your expenses when you need medical care.
African American Health,https://medlineplus.gov/africanamericanhealth.html,Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from
After Surgery,https://medlineplus.gov/aftersurgery.html,After any operation; you'll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut.   Your surgeon can tell you which side effects to expect.
Macular Degeneration,https://medlineplus.gov/maculardegeneration.html,Macular degeneration; or age-related macular degeneration (AMD); is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp; central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.
Veterans and Military Health,https://medlineplus.gov/veteransandmilitaryhealth.html,Military service members and veterans have made sacrifices to our country; and they face different health issues than civilians. During their service; they are at risk for various injuries. These injuries can happen during combat; while others involve physical stress to the body. Sometimes the injuries are life-threatening or serious enough to cause disability. Others may not be as serious; but can be painful and affect daily life. Specific types of injuries include
Taste and Smell Disorders,https://medlineplus.gov/tasteandsmelldisorders.html,Our senses of taste and smell give us great pleasure. Taste helps us enjoy food and beverages. Smell lets us enjoy the scents and fragrances like roses or coffee. Taste and smell also protect us; letting us know when food has gone bad or when there is a gas leak. They make us want to eat; ensuring we get the nutrition we need.
Seniors' Health,https://medlineplus.gov/seniorshealth.html,People in the U.S. are living longer than ever before. Many seniors live active and healthy lives. But there's no getting around one thing: as we age; our bodies and minds change. There are things you can do to stay healthy and active as you age. It is important to understand what to expect.  Some changes may just be part of normal aging; while others may be a warning sign of a medical problem.  It is important to know the difference; and to let your health care provider know if you have any concerns.
Skin Aging,https://medlineplus.gov/skinaging.html,Your skin changes as you age. You might notice wrinkles; age spots and dryness. Your skin also becomes thinner and loses fat; making it less plump and smooth. It might take longer to heal; too.
Phobias,https://medlineplus.gov/phobias.html,A phobia is a type of anxiety disorder.  It is a strong; irrational fear of something that poses little or no real danger.
HIV/AIDS,https://medlineplus.gov/hivaids.html,HIV stands for human immunodeficiency virus. It harms your immune system by destroying the white blood cells that fight infection. This puts you at risk for serious infections and certain cancers. AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. Not everyone with HIV develops AIDS.
HIV/AIDS and Infections,https://medlineplus.gov/hivaidsandinfections.html,Having HIV/AIDS weakens your body's immune system. It destroys the white blood cells that fight infection. This puts you at risk for opportunistic infections (OIs). OIs are serious infections that take advantage of your weak immune system. These infections are less common and less severe in healthy people.
HIV/AIDS and Pregnancy,https://medlineplus.gov/hivaidsandpregnancy.html,If you are pregnant and have HIV/AIDS;there is a risk of passing HIV to your baby. It can happen in three ways:
HIV/AIDS in Women,https://medlineplus.gov/hivaidsinwomen.html,HIV stands for human immunodeficiency virus. It harms your immune system by destroying the white blood cells that fight infection.  AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. Not everyone with HIV develops AIDS.
HIV/AIDS Medicines,https://medlineplus.gov/hivaidsmedicines.html,In the early 1980s; when the HIV/AIDS epidemic began; patients rarely lived longer than a few years. But today; there are many effective medicines to fight the infection; and people with HIV have longer; healthier lives.
Living with HIV/AIDS,https://medlineplus.gov/livingwithhivaids.html,HIV stands for human immunodeficiency virus. It harms your immune system by destroying the white blood cells that fight infection. AIDS stands for acquired immunodeficiency syndrome. It is the final stage of infection with HIV. Not everyone with HIV develops AIDS.
Air Pollution,https://medlineplus.gov/airpollution.html,Air pollution is a mixture of solid particles and gases in the air. Car emissions; chemicals from factories; dust; pollen and mold spores may be suspended as particles. Ozone; a gas; is a major part of air pollution in cities. When ozone forms air pollution; it's also called smog.
Motion Sickness,https://medlineplus.gov/motionsickness.html,Motion sickness is a common problem in people traveling by car; train; airplanes; and especially boats. Anyone can get it; but it is more common in children; pregnant women; and people taking certain medicines. Motion sickness can start suddenly; with a queasy feeling and cold sweats. It can then lead to dizziness and nausea and vomiting.
Liver Diseases,https://medlineplus.gov/liverdiseases.html,Your liver is the largest organ inside your body. It helps your body digest food; store energy; and remove poisons.
Native American Health,https://medlineplus.gov/nativeamericanhealth.html,Every racial or ethnic group has specific health concerns.  Differences in the health of groups can result from:
Alcohol,https://medlineplus.gov/alcohol.html,If you are like many Americans; you drink alcohol at least occasionally. For many people; moderate drinking is probably safe. It may even have health benefits; including reducing your risk of certain heart problems. For most women and for most people over 65; moderate drinking is no more than three drinks a day or seven drinks per week. For men under 65; it is no more than four drinks a day or 14 drinks per week.
Pregnancy and Substance Abuse,https://medlineplus.gov/pregnancyandsubstanceabuse.html,When you are pregnant; you are not just "eating for two." You also breathe and drink for two; so it is important to carefully consider what you give to your baby.  If you smoke; use alcohol or take illegal drugs; so does your unborn baby.
Underage Drinking,https://medlineplus.gov/underagedrinking.html,Alcohol is the most widely abused substance among America's youth. Drinking by young people has big health and safety risks. It is dangerous because it
Alcohol,https://medlineplus.gov/alcohol.html,If you are like many Americans; you drink alcohol at least occasionally. For many people; moderate drinking is probably safe. It may even have health benefits; including reducing your risk of certain heart problems. For most women and for most people over 65; moderate drinking is no more than three drinks a day or seven drinks per week. For men under 65; it is no more than four drinks a day or 14 drinks per week.
Alcoholism and Alcohol Abuse,https://medlineplus.gov/alcoholismandalcoholabuse.html,For most adults; moderate alcohol use is probably not harmful. However; about 18 million adult Americans have an alcohol use disorder (AUD).  This means that their drinking causes distress and harm.  It includes alcoholism and alcohol abuse.
Alcohol Use Disorder (AUD) Treatment,https://medlineplus.gov/alcoholusedisorderaudtreatment.html,An alcohol use disorder (AUD) is drinking that causes distress and harm. It is a medical condition in which you
Alcoholism and Alcohol Abuse,https://medlineplus.gov/alcoholismandalcoholabuse.html,For most adults; moderate alcohol use is probably not harmful. However; about 18 million adult Americans have an alcohol use disorder (AUD).  This means that their drinking causes distress and harm.  It includes alcoholism and alcohol abuse.
Fatty Liver Disease,https://medlineplus.gov/fattyliverdisease.html,Your liver is the largest organ inside your body. It helps your body digest food; store energy; and remove poisons. Fatty liver disease is a condition in which fat builds up in your liver. There are two main types:
Alcoholism and Alcohol Abuse,https://medlineplus.gov/alcoholismandalcoholabuse.html,For most adults; moderate alcohol use is probably not harmful. However; about 18 million adult Americans have an alcohol use disorder (AUD).  This means that their drinking causes distress and harm.  It includes alcoholism and alcohol abuse.
Acute Lymphocytic Leukemia,https://medlineplus.gov/acutelymphocyticleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute lymphocytic leukemia (ALL); also called acute lymphoblastic leukemia; there are too many of specific types of white blood cells called lymphocytes or lymphoblasts.  ALL is the most common type of cancer in children.
Aspergillosis,https://medlineplus.gov/aspergillosis.html,Aspergillosis is a disease caused by a fungus (or mold) called Aspergillus.  The fungus is very common in both indoors and outdoors. Most people breathe in the spores of the fungus every day without being affected. But some people get the disease. It usually occurs in people with lung diseases or weakened immune systems.
Allergy,https://medlineplus.gov/allergy.html,An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing. Substances that often cause reactions are
Hay Fever,https://medlineplus.gov/hayfever.html,Each spring; summer; and fall; trees; weeds; and grasses release tiny pollen grains into the air. Some of the pollen ends up in your nose and throat. This can trigger a type of allergy called hay fever.
Allergy,https://medlineplus.gov/allergy.html,An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing. Substances that often cause reactions are
Food Allergy,https://medlineplus.gov/foodallergy.html,Food allergy is an abnormal response to a food triggered by your body's immune system.
Latex Allergy,https://medlineplus.gov/latexallergy.html,Latex is a milky fluid that comes from the tropical rubber tree. Hundreds of everyday products contain latex. Repeated exposure to a protein in natural latex can make you more likely to develop a latex allergy. If your immune system detects the protein; a reaction can start in minutes. You could get a rash or asthma. In rare cases you could have a severe reaction called anaphylaxis.
Hair Loss,https://medlineplus.gov/hairloss.html,You lose up to 100 hairs from your scalp every day. That's normal; and in most people; those hairs grow back. But many men -- and some women -- lose hair as they grow older. You can also lose your hair if you have certain diseases; such as thyroid problems; diabetes; or lupus. If you take certain medicines or have chemotherapy for cancer; you may also lose your hair. Other causes are stress; a low protein diet; a family history; or poor nutrition.
Alpha-1 Antitrypsin Deficiency,https://medlineplus.gov/alpha1antitrypsindeficiency.html,Alpha-1 antitrypsin deficiency (AAT deficiency) is an inherited condition that raises your risk for lung and liver disease.  Alpha-1 antitrypsin (AAT) is a protein that protects the lungs. The liver makes it. If the AAT proteins aren't the right shape; they get stuck in the liver cells and can't reach the lungs.
Vitamin E,https://medlineplus.gov/vitamine.html,Vitamins are substances that your body needs to grow and develop normally. Vitamin E is an antioxidant. It plays a role in your immune system and metabolic processes.
Amyotrophic Lateral Sclerosis,https://medlineplus.gov/amyotrophiclateralsclerosis.html,Amyotrophic lateral sclerosis (ALS) is a nervous system disease that attacks nerve cells called neurons in your brain and spinal cord. These neurons transmit messages from your brain and spinal cord to your voluntary muscles - the ones you can control; like in your arms and legs. At first; this causes mild muscle problems. Some people notice
Complementary and Integrative Medicine,https://medlineplus.gov/complementaryandintegrativemedicine.html,Many Americans use medical treatments that are not part of mainstream medicine. When you are using these types of care; it may be called complementary; integrative; or alternative medicine.
Cancer Alternative Therapies,https://medlineplus.gov/canceralternativetherapies.html,You have many choices to make about your cancer treatment. One choice you might be thinking about is complementary and alternative medicine (CAM). CAM is the term for medical products and practices that are not part of standard care.  Examples of CAM therapies are acupuncture; chiropractic; and herbal medicines.
Alzheimer's Caregivers,https://medlineplus.gov/alzheimerscaregivers.html,Caring for someone who has Alzheimer's disease  (AD) can be stressful and overwhelming. It's important to take care of yourself. Ask for and accept help.
Alzheimer's Disease,https://medlineplus.gov/alzheimersdisease.html,Alzheimer's disease (AD) is the most common form of dementia among older people. Dementia is a brain disorder that seriously affects a person's ability to carry out daily activities.
Amblyopia,https://medlineplus.gov/amblyopia.html, Amblyopia; or "lazy eye;" is the most common cause of visual impairment in children.  It happens when an eye fails to work properly with the brain.  The eye may look normal; but the brain favors the other eye.   In some cases; it can affect both eyes.  Causes include
Macular Degeneration,https://medlineplus.gov/maculardegeneration.html,Macular degeneration; or age-related macular degeneration (AMD); is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp; central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.
Menstruation,https://medlineplus.gov/menstruation.html,Menstruation; or period; is normal vaginal bleeding that occurs as part of a woman's monthly cycle. Every month; your body prepares for pregnancy. If no pregnancy occurs; the uterus; or womb; sheds its lining. The menstrual blood is partly blood and partly tissue from inside the uterus. It passes out of the body through the vagina.
Native American Health,https://medlineplus.gov/nativeamericanhealth.html,Every racial or ethnic group has specific health concerns.  Differences in the health of groups can result from:
Amino Acid Metabolism Disorders,https://medlineplus.gov/aminoacidmetabolismdisorders.html,Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins; carbohydrates; and fats. Your digestive system breaks the food parts down into sugars and acids; your body's fuel. Your body can use this fuel right away; or it can store the energy in your body. If you have a metabolic disorder; something goes wrong with this process.
Acute Myeloid Leukemia,https://medlineplus.gov/acutemyeloidleukemia.html,Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia; however; the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells; making it hard for blood to do its work. In acute myeloid leukemia (AML); there are too many of a specific type of white blood cell called a myeloblast.
Memory,https://medlineplus.gov/memory.html,Every day; you have different experiences and you learn new things. Your brain cannot store all of that information; so it has to decide what is worth remembering. Memory is the process of storing and then remembering this information. There are different types of memory. Short-term memory stores information for a few seconds or minutes. Long-term memory stores it for a longer period of time.
Prenatal Testing,https://medlineplus.gov/prenataltesting.html,Prenatal testing provides information about your baby's health before he or she is born. Some routine tests during pregnancy also check on your health. At your first prenatal visit; your health care provider will test for a number of things; including problems with your blood; signs of infections; and whether you are immune to rubella (German measles) and chickenpox.
Club Drugs,https://medlineplus.gov/clubdrugs.html,Club drugs are group of psychoactive drugs.  They act on the central nervous system and can cause changes in mood; awareness; and how you act. These drugs are often abused by young adults at all-night dance parties; dance clubs; and bars. They include
